cluster,gene,avg_log2FC,pct.1,pct.2,p_val,p_val_adj
13,Slamf9,0.17308342056694,0.375,0,3.97656590369696E-191,7.95313180739393E-188
13,Tnni2,0.310634998315416,0.329,0,5.34473075923174E-186,1.06894615184635E-182
13,Csf2rb2,0.143539344353996,0.191,0,1.10117195259428E-185,2.20234390518856E-182
13,Spic,0.810854428528395,0.474,0.001,1.55957292730032E-183,3.11914585460065E-180
13,Mras,0.200506976162671,0.342,0,1.07068763817763E-178,2.14137527635526E-175
13,Gm49101,0.116952342654805,0.224,0,6.52547761860205E-172,1.30509552372041E-168
13,Pou2af21,0.100474994700837,0.257,0,1.7704023933835E-167,3.540804786767E-164
13,Bcar3,1.13720046444864,0.441,0.001,2.60371265818447E-166,5.20742531636894E-163
13,Marchf1,2.02149839313273,0.664,0.065,2.89078294192189E-165,5.78156588384378E-162
13,Ppfia4,0.549309026129287,0.507,0.044,3.79599271423252E-164,7.59198542846504E-161
13,Gm31243,1.16926920815634,0.612,0.058,6.627132423979E-160,1.3254264847958E-156
13,Clec4a3,0.887869750972897,0.355,0.013,1.05587765861544E-150,2.11175531723087E-147
13,Stab1,0.285496824462419,0.336,0.008,1.19911094268384E-150,2.39822188536769E-147
13,Clec4n,1.25778294487854,0.283,0,3.51901929121433E-149,7.03803858242867E-146
13,H2-Eb1,4.85842314740117,0.829,0.084,2.70333709862992E-146,5.40667419725985E-143
13,Fabp4,0.741110936467457,0.336,0.018,1.16801286358328E-144,2.33602572716655E-141
13,Adap2,0.783228854251406,0.421,0.029,3.79212418629801E-143,7.58424837259602E-140
13,Gm5086,0.15669697579621,0.158,0,7.03748087707133E-141,1.40749617541427E-137
13,Gm35154,0.468506055731411,0.316,0,7.72599306307336E-132,1.54519861261467E-128
13,Cacna1h,0.017369494207609,0.059,0,9.45399516749142E-127,1.89079903349828E-123
13,Tcea31,0.018039192460516,0.02,0.001,4.44758553680618E-125,8.89517107361236E-122
13,Fgd4,0.673834932051265,0.342,0.009,6.55870859986418E-123,1.31174171997284E-119
13,Pid1,1.54278008286426,0.401,0.023,7.51275247141269E-123,1.50255049428254E-119
13,H2-Ab1,4.97655112611785,0.895,0.163,1.45507871939335E-120,2.9101574387867E-117
13,Mt1,1.26739098294502,0.467,0.016,8.45319835581391E-119,1.69063967116278E-115
13,Sdc3,1.85465848007557,0.645,0.054,3.82982662671164E-116,7.65965325342328E-113
13,Cd300lb,0.072573280247728,0.026,0,1.52994347872397E-114,3.05988695744795E-111
13,Gpm6a,0.053564171003395,0.059,0,5.02751876939154E-113,1.00550375387831E-109
13,Arpin2,0.175937456099234,0.382,0.008,1.47305888612747E-111,2.94611777225494E-108
13,Dnase1l3,1.00720785453834,0.349,0.002,1.2598415526463E-109,2.51968310529261E-106
13,Ankrd33b,0.439654883454364,0.289,0,1.16074857631272E-107,2.32149715262543E-104
13,C1qa,4.19823234868248,0.592,0.06,1.62025499707733E-106,3.24050999415466E-103
13,Aif1,3.18993137397026,0.572,0.029,8.57442511687796E-106,1.71488502337559E-102
13,Samd4,0.649017403303969,0.336,0.024,2.60408139770119E-105,5.20816279540238E-102
13,Adgre4,0.626822437871783,0.303,0.007,2.03430204775948E-103,4.06860409551896E-100
13,Zmynd15,0.744827403427039,0.296,0.01,3.16438836539608E-103,6.32877673079216E-100
13,H2-Aa,5.09547736263135,0.862,0.135,5.57506389264825E-101,1.11501277852965E-97
13,Eps8,0.290924002799059,0.362,0.016,8.79209731208641E-101,1.75841946241728E-97
13,Adgre1,1.26483900640005,0.474,0.01,3.02026650191193E-100,6.04053300382386E-97
13,Cd74,6.19582533126859,0.921,0.269,1.0070588668934E-99,2.0141177337868E-96
13,Havcr1,0.250734139201926,0.303,0.008,4.36777221663829E-99,8.73554443327658E-96
13,Bank1,2.79905709180267,0.539,0.029,1.29554422284518E-98,2.59108844569036E-95
13,Igf1,1.83803099227433,0.342,0.017,2.10785508538199E-96,4.21571017076398E-93
13,Cpne4,0.011981285180945,0.27,0.017,7.93964072802585E-96,1.58792814560517E-92
13,Pilra,0.822820057995313,0.342,0.013,9.98998818097974E-96,1.99799763619595E-92
13,Fcgr3,1.4217108223209,0.382,0.02,4.5487525585642E-95,9.0975051171284E-92
13,Klra2,0.376408357617912,0.336,0.009,1.82393325765003E-94,3.64786651530007E-91
13,Tmem150c1,0.059320322923036,0.263,0.016,6.61215429433329E-93,1.32243085886666E-89
13,Iglc2,2.76324293762095,0.48,0.056,1.96671604828839E-91,3.93343209657678E-88
13,Fcrl5,0.935583751869331,0.368,0.025,2.73416815146186E-91,5.46833630292373E-88
13,Apba1,0.926044466233549,0.461,0.016,1.84090234862101E-89,3.68180469724202E-86
13,Slc11a1,0.555591501538963,0.362,0.041,3.37896182838405E-87,6.75792365676809E-84
13,Fcmr,1.02058356503901,0.362,0.022,2.15761148646842E-86,4.31522297293683E-83
13,C1qc,3.51336539162001,0.507,0.027,1.7863469179595E-85,3.572693835919E-82
13,Ehf,0.083119285699321,0.158,0,1.79914635181871E-83,3.59829270363742E-80
13,Lgals3,3.15064353847341,0.678,0.069,6.53242944095788E-83,1.30648588819158E-79
13,Cd40,0.424901471358172,0.342,0.006,7.25210782291085E-83,1.45042156458217E-79
13,Lyn,2.80548028944243,0.875,0.318,1.72820428159351E-81,3.45640856318703E-78
13,Mt3,0.081804298434905,0.033,0,5.46266660548657E-78,1.09253332109731E-74
13,Adgrg6,0.248496120771024,0.27,0.014,1.50671391108741E-77,3.01342782217482E-74
13,Cd300c2,1.68746773322753,0.408,0.011,2.99685461051555E-76,5.9937092210311E-73
13,Mrc1,1.73458709128079,0.388,0.043,3.70349101287571E-76,7.40698202575142E-73
13,Il13ra1,0.491262311289276,0.474,0.034,1.85341914351527E-74,3.70683828703055E-71
13,Ciita,1.41861584057553,0.697,0.125,8.28904573986867E-73,1.65780914797373E-69
13,Ltc4s,0.035418922494927,0.079,0,2.15335453358722E-72,4.30670906717444E-69
13,Iglc1,1.73263188105956,0.487,0.042,1.49385557833821E-71,2.98771115667641E-68
13,Gatm,0.714339770656173,0.441,0.04,1.51698192106991E-70,3.03396384213982E-67
13,C1qb,3.71048699670607,0.48,0.013,4.80194994895437E-70,9.60389989790875E-67
13,Adgrl3,0.457513634117018,0.309,0.021,1.96507804829325E-67,3.9301560965865E-64
13,P3h2,0.289745688591873,0.276,0,2.84424932772737E-65,5.68849865545473E-62
13,Mcemp1,0.156075147990443,0.257,0,1.97368399988489E-64,3.94736799976978E-61
13,Ear2,1.45481403090298,0.322,0.024,6.51633720254045E-64,1.30326744050809E-60
13,Bmp6,0.208530040400285,0.309,0.024,8.58752268560939E-64,1.71750453712188E-60
13,Lpar3,0.12839231532107,0.145,0,7.34709265595023E-62,1.46941853119005E-58
13,Gpr141b,0.154115589683781,0.178,0,7.41011208590896E-60,1.48202241718179E-56
13,Csf3r,1.01597438198384,0.243,0.007,9.92676369612725E-60,1.98535273922545E-56
13,Clec10a,0.248911453501009,0.25,0.007,4.74235245492516E-59,9.48470490985031E-56
13,Fcer1g,3.40617614454962,0.678,0.111,3.77372611235803E-56,7.54745222471606E-53
13,Slpi,1.15832107654523,0.454,0.062,8.16623933842006E-54,1.63324786768401E-50
13,Fcna,0.434014577229577,0.211,0,2.47036621591499E-52,4.94073243182998E-49
13,Slc40a1,2.07271602660983,0.342,0.02,6.37639741864559E-52,1.27527948372912E-48
13,Cfp,1.85317774245118,0.625,0.145,3.42085781398965E-51,6.84171562797931E-48
13,Cebpa,0.444505274811072,0.309,0.007,3.79753200203839E-47,7.59506400407678E-44
13,Plbd1,2.21001749651938,0.605,0.125,4.76975314878288E-47,9.53950629756575E-44
13,Mefv,0.07769551532697,0.151,0,1.63478812595943E-46,3.26957625191885E-43
13,C3,0.604929730920654,0.283,0,1.15168017129049E-45,2.30336034258097E-42
13,Nfam12,0.798971361166403,0.572,0.14,5.92829153351189E-45,1.18565830670238E-41
13,Cd221,0.61137679752374,0.322,0,1.53182732408272E-42,3.06365464816544E-39
13,Cd68,1.95736985523411,0.645,0.208,2.07455673650756E-42,4.14911347301511E-39
13,Grn1,1.8876427261429,0.664,0.22,3.63229063885726E-42,7.26458127771452E-39
13,Mgl21,0.648781413473352,0.289,0.027,4.33304075111446E-42,8.66608150222893E-39
13,Adam231,0.743799340950489,0.158,0.001,4.46580021222085E-42,8.93160042444171E-39
13,Scd1,0.564559236013638,0.408,0.009,2.29844488492803E-41,4.59688976985606E-38
13,Timd4,0.133843731531085,0.138,0,4.95927514694612E-39,9.91855029389224E-36
13,Fscn1,0.928092014484641,0.342,0.042,9.06738703028628E-38,1.81347740605726E-34
13,Vcam1,3.29689304484603,0.447,0.042,1.91995232059474E-36,3.83990464118947E-33
13,Apoe,5.82306520092655,0.717,0.348,4.11370882911049E-36,8.22741765822099E-33
13,Cd79a,2.51086074642997,0.467,0.126,2.94670845957601E-35,5.89341691915201E-32
13,F630028O10Rik,0.710890845008911,0.191,0,4.29892842152675E-34,8.59785684305349E-31
13,Cd63,2.59952192980479,0.474,0.064,6.01518911441918E-32,1.20303782288384E-28
13,Igkc,7.66296356761706,0.664,0.313,2.61237784988057E-31,5.22475569976114E-28
13,Ccser11,0.834980624141856,0.461,0.093,7.65278729540696E-31,1.53055745908139E-27
13,Ms4a1,1.92755575155951,0.336,0.03,1.96656453610634E-30,3.93312907221267E-27
13,Rnd3,0.411979775463815,0.289,0.009,3.31139183720651E-29,6.62278367441302E-26
13,Ly6a21,0.09147731578242,0.184,0,5.10401746972795E-29,1.02080349394559E-25
13,Lyz2,4.6421611586999,0.52,0.069,1.01489917422079E-28,2.02979834844157E-25
13,Mreg,0.833126389680369,0.336,0.005,2.32778420546931E-28,4.65556841093862E-25
13,Blnk,1.74144011704327,0.618,0.254,6.70982020005012E-28,1.34196404001002E-24
13,Mertk,1.15245500450312,0.257,0.012,2.27491655657459E-26,4.54983311314918E-23
13,Cd209d,0.395406999051363,0.072,0,5.98867808826656E-26,1.19773561765331E-22
13,Dysf,0.50775619490993,0.276,0.041,6.50489779384526E-26,1.30097955876905E-22
13,Ccl12,0.656257558348201,0.132,0,1.20317543220344E-22,2.40635086440688E-19
13,Sema5a,0.275489806296259,0.099,0.003,5.99919547386196E-21,1.19983909477239E-17
13,Hpgd,2.30109890445315,0.322,0.055,9.60763545355512E-21,1.92152709071102E-17
13,Gm566631,1.04986064372707,0.349,0.017,3.14908322932573E-20,6.29816645865147E-17
13,Hebp1,1.60791121222016,0.401,0.112,7.87440184697954E-20,1.57488036939591E-16
13,Ifi205,0.778108945704877,0.276,0.006,4.54016599059033E-19,9.08033198118066E-16
13,Iglv1,1.09957950935951,0.086,0.03,9.80202468702338E-19,1.96040493740468E-15
13,Rab3il1,0.393000666984172,0.237,0,2.09878162048598E-18,4.19756324097196E-15
13,Nr1h3,1.19230492382707,0.414,0.174,1.41689803119659E-17,2.83379606239318E-14
13,Rab7b,0.628424635415665,0.263,0.015,2.07213159025441E-17,4.14426318050881E-14
13,Oas1g,0.050751413690296,0.132,0,2.63406701906398E-17,5.26813403812795E-14
13,Lpl,1.30427418572487,0.289,0.011,1.33630839472418E-16,2.67261678944836E-13
13,Fcrla,0.925543452453782,0.388,0.096,3.27221374562798E-16,6.54442749125595E-13
13,Cldn1,0.177053481919077,0.092,0,7.78236247012353E-12,1.5564724940247E-08
13,Pkd2,0.084962671953745,0.164,0.004,2.82240237296348E-11,5.64480474592697E-08
13,Epb41l3,0.670703696756699,0.309,0.024,2.20695746516795E-10,4.4139149303359E-07
13,Meis1,0.070139326880874,0.105,0.013,4.64576869158443E-10,9.29153738316887E-07
13,Ccl91,0.278445434378878,0.053,0,7.862023505804E-10,1.5724047011608E-06
13,Blvrb3,1.36766799015384,0.539,0.363,1.01054882954698E-09,2.02109765909396E-06
13,Tmem119,0.21869524282007,0.171,0,1.0394847065061E-09,2.07896941301221E-06
13,Tmem26,0.431570590040266,0.118,0.011,2.95824317429898E-09,5.91648634859795E-06
13,Klhl14,0.214891745283087,0.171,0,6.81644004531613E-09,1.36328800906323E-05
13,Gfra2,0.465108612791468,0.197,0.002,1.94021214236175E-08,3.88042428472351E-05
13,Csf1r,1.20113492442881,0.368,0.106,4.3915197413226E-08,8.7830394826452E-05
13,Alox5ap2,1.21001656931647,0.428,0.187,2.35848714707769E-07,0.000471697429416
13,Abcc3,0.580739240425133,0.243,0.051,2.03646038487209E-06,0.004072920769744
13,Clec4a2,0.552082501707632,0.184,0.001,6.40552268612471E-06,0.012811045372249
13,Clec4b1,0.384356806500603,0.151,0.004,2.29431495049761E-05,0.045886299009952
14,Tspan10,0.023717522830829,0.33,0.003,9.21068698442529E-163,1.84213739688506E-159
15,Il1r1,3.66207914038746,1,0.006,0,0
15,Trdv4,3.27532393938244,0.741,0,0,0
15,Kcnk1,1.67375444541114,0.852,0,0,0
15,Or4c12,0.862018346527452,0.481,0,0,0
15,Igsf11,0.399200149037609,0.444,0,0,0
15,Cdh10,2.90325772496494,0.963,0.017,4.20006674026124E-299,8.40013348052249E-296
15,Klrb1b1,0.693893001185006,0.444,0.004,9.98096710124221E-154,1.99619342024844E-150
15,Il23r,3.98857372093815,1,0.031,4.48927247418318E-124,8.97854494836637E-121
15,Stab2,2.55850592938543,0.593,0.005,2.25962180826012E-91,4.51924361652024E-88
15,Fat3,1.8092188129774,0.704,0.01,4.20775457646147E-72,8.41550915292294E-69
15,Hs6st2,1.38066414286829,0.481,0.011,1.46922460382824E-62,2.93844920765648E-59
15,1700113H08Rik,0.528918027817087,0.37,0.018,9.53961069478077E-32,1.90792213895615E-28
15,Spp1,0.229851223316395,0.037,0.001,1.09782080981439E-12,2.19564161962879E-09
